Название,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow",Коул Анирад и др.,Питер:Бестселлеры O`Reilly,3787,4855,22,На складе
Грокаем стриминг,"Фишер Джош, Ван Нин",Питер:Библиотека программиста,1702,2182,22,На складе
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,"Горелик Миша, Йен Освальд",Бомбора:Мировой компьютерный бестселлер (обложка),1499,2053,27,На складе
Проектирование и разработка интерфейсов пользователя. Учебное пособие. ФГОС СПО,"Шитов Виктор Николаевич, Успенский Кирилл Евгеньевич",Кнорус:Среднее профессиональное образование,1322,2644,50,Ограничено
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов",Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,4122,Цена без скидки не указана,Скидка отсутствует,На складе
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для СПО",Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,4122,Цена без скидки не указана,Скидка отсутствует,На складе
Entity Framework Core в действии,Смит Джон П.,ДМК-Пресс,2792,5583,50,На складе
API в разработке приложений Autodesk Inventor. Практическое руководство,Дюймовский Пайни,Инфра-Инженерия,1857,3713,50,На складе
Python без проблем. Решаем реальные задачи и пишем полезный код,Зингаро Даниэль,Питер:Библиотека программиста,1618,2074,22,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,2823,3619,22,На складе
Кибердзюцу. Кибербезопасность для современных ниндзя,Маккарти Бен,Питер:Библиотека программиста,1845,2365,22,На складе
Black Hat Go. Программирование для хакеров и пентестеров,Коттманн Дэн и др.,Питер:Библиотека программиста,2511,3219,22,На складе
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер:Библиотека программиста,1417,1817,22,На складе
Разработка интерфейсов. Паттерны проектирования,Тидвелл Дженифер и др.,Питер:Бестселлеры O`Reilly,2766,3546,22,На складе
Компьютерные системы. Архитектура и программирование,"Брайант Рэндал Э., О`Халларон Дэвид",ДМК-Пресс,3490,6979,50,На складе
Социальная инженерия и этичный хакинг на практике,Грей Джо,ДМК-Пресс,1397,2793,50,На складе
Spring быстро,Спилкэ Лауренциу,Питер,2836,3636,22,На складе
Kali Linux. Библия пентестера,Хаваджа Гас,Питер:Для профессионалов,4241,5437,22,На складе
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,Гайдук Анатолий Романович и др.,Лань:Учебники для вузов. Специальная литература,4888,Цена без скидки не указана,Скидка отсутствует,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,5659,7255,22,Ограничено
Язык программирования С++,Страуструп Бьерн,Бином,4575,Цена без скидки не указана,Скидка отсутствует,На складе
Интернет вещей для начинающих. Визуальное программирование микроконтроллеров семейства ESP8266,Шамин Алексей Алексеевич,Инфра-Инженерия,683,1366,50,На складе
Моделирование систем управления. Учебник для вузов,"Семенов Анатолий Дмитриевич, Юрков Николай Кондратьевич",Лань:Компьютеры и программное обеспечение,4943,Цена без скидки не указана,Скидка отсутствует,Ограничено
Исследование операций. Том 2. Задачи транспортного типа. Учебник для вузов,Трушков Александр Сергеевич,Лань:Компьютеры и программное обеспечение,4122,Цена без скидки не указана,Скидка отсутствует,На складе
"Python для сетевых инженеров. Автоматизация сети, программирование и DevOps",Чоу Эрик,Питер:Для профессионалов,3815,4891,22,На складе
Kafka в действии,Скотт Дилан и др.,ДМК-Пресс,2094,4187,50,На складе
Объяснимые модели искусственного интеллекта на Python. Модель искусственного интеллекта,Мишра Прадипта,ДМК-Пресс,1814,3628,50,На складе
Проектирование гибких программ,"Хансон Крис, Сассман Джеральд Джей",ДМК-Пресс,2094,4187,50,На складе
Идеальная работа. Программирование без прикрас,Мартин Роберт С.,Питер:Библиотека программиста,1361,1745,22,На складе
Криптографические основы блокчейн-технологий,Ищукова Евгения Александровна и др.,ДМК-Пресс,1397,2793,50,На складе
Web-программирование на Python. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3504,Цена без скидки не указана,Скидка отсутствует,На складе
Web-программирование на Python. СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3504,Цена без скидки не указана,Скидка отсутствует,Ограничено
Go. Идиомы и паттерны проектирования,Боднер Джон,Питер:Бестселлеры O`Reilly,2823,3619,22,На складе
Python. Чистый код для продолжающих,Свейгарт Эл,Питер:Библиотека программиста,2263,2901,22,На складе
Как проектировать программы,Фелляйзен Маттиас и др.,ДМК-Пресс,2792,5583,50,На складе
Введение в программирование и структуры данных,Фислер Кати и др.,ДМК-Пресс,2094,4187,50,На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Компьютеры и программное обеспечение,2318,Цена без скидки не указана,Скидка отсутствует,На складе
Программирование в САПР. Учебное пособие,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,2877,5753,50,На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань:Учебники для вузов. Специальная литература,4052,Цена без скидки не указана,Скидка отсутствует,На складе
Программирование в Clojure. Практика применения Lisp в мире Java,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,2373,4746,50,На складе
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,768,1536,50,На складе
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,558,1115,50,На складе
OpenGL 4. Язык шейдеров. Книга рецептов,Вольф Дэвид,ДМК-Пресс,1675,3349,50,На складе
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,1397,2793,50,На складе
Программирование микроконтроллеров ATMEL на языке C,Прокопенко Вадим Сергеевич,Корона-Принт,704,1408,50,На складе
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,1257,2513,50,Ограничено
